state,state_abb,income,level,rare,medRare,med,medWell,well
Alabama,AL,79500,0.515,0,13,6,3,2
Alaska,AK,81614,0.4637,5,26,24,7,5
Arizona,AZ,74759,0.5906,0,9,11,8,6
Arkansas,AR,69038,0.47125,0,13,6,3,2
California,CA,81614,0.4637,5,26,24,7,5
Colorado,CO,74759,0.5906,0,9,11,8,6
Connecticut,CT,92583,0.4447,2,16,10,5,1
Delaware,DE,79986,0.4847,5,30,20,15,5
District of Columbia,DC,79986,0.4847,5,30,20,15,5
Florida,FL,79986,0.4847,5,30,20,15,5
Georgia,GA,79986,0.4847,5,30,20,15,5
Hawaii,HI,81614,0.4637,5,26,24,7,5
Idaho,ID,74759,0.5906,0,9,11,8,6
Illinois,IL,81000,0.5189,1,24,22,11,7
Indiana,IN,81000,0.5189,1,24,22,11,7
Iowa,IA,81241,0.4234,3,16,11,5,0
Kansas,KS,81241,0.4234,3,16,11,5,0
Kentucky,KY,79500,0.515,1,24,22,11,7
Louisiana,LA,81000,0.5189,1,13,6,3,2
Maine,ME,92583,0.4447,2,16,10,5,1
Maryland,MT,79986,0.4847,0,9,11,8,6
Massachusetts,NE,92583,0.4447,3,16,11,5,0
Michigan,NV,81000,0.5189,0,9,11,8,6
Minnesota,NH,81241,0.4234,2,16,10,5,1
Mississippi,NJ,79500,0.515,6,14,18,13,6
Missouri,NM,81241,0.4234,0,9,11,8,6
Montana,NY,74759,0.5906,6,14,18,13,6
Nebraska,NC,81241,0.4234,5,30,20,15,5
Nevada,ND,74759,0.5906,3,16,11,5,0
New Hampshire,OH,92583,0.4447,1,24,22,11,7
New Jersey,OK,98755,0.5233,0,13,6,3,2
New Mexico,OR,74759,0.5906,5,26,24,7,5
New York,MD,98755,0.5233,5,30,20,15,5
North Carolina,MA,79986,0.4847,2,16,10,5,1
North Dakota,MI,81241,0.4234,1,24,22,11,7
Ohio,MN,81000,0.5189,3,16,11,5,0
Oklahoma,MS,69038,0.47125,1,24,22,11,7
Oregon,MO,81614,0.4637,3,16,11,5,0
Pennsylvania,PA,98755,0.5233,6,14,18,13,6
Rhode Island,RI,92583,0.4447,2,16,10,5,1
South Carolina,SC,79986,0.4847,5,30,20,15,5
South Dakota,SD,81241,0.4234,3,16,11,5,0
Tennessee,TN,79500,0.515,1,24,22,11,7
Texas,TX,69038,0.47125,0,13,6,3,2
Utah,UT,74759,0.5906,0,9,11,8,6
Vermont,VT,92583,0.4447,2,16,10,5,1
Virginia,VA,79986,0.4847,5,30,20,15,5
Washington,WA,81614,0.4637,5,26,24,7,5
West Virginia,WV,79986,0.4847,5,30,20,15,5
Wisconsin,WI,81000,0.5189,1,24,22,11,7
Wyoming,WY,74759,0.5906,0,9,11,8,6
